code,title,definition,landscape_ecological_context,synonyms,inclusions,exclusions,species,nvc_associations
56,Depressions on peat,"Depressions on peat substrates occur in complex mosaics with lowland wet heath and valley mire vegetation, in transition mires, on the margins of bog pools and hollows in both raised and blanket bogs and in artificially disturbed areas, such as along footpaths and trackways and in old peat- cuttings and abandoned ditches. This habitat will often be smaller than the minimum mappable area and should be mapped as a point in these cases.",,Annex 1: H7150 Depressions on peat substrates of the Rhynchosporion.,,,"The vegetation is typically very open. It is usually characterised by an abundance of White Beak- sedge Rhynchospora alba, often with well- developed algal mats, the bog-moss Sphagnum denticulatum, Round-leaved Sundew Drosera rotundifolia and, in relatively base-rich sites, brown mosses such as Drepanocladus revolvens and Scorpidium scorpioides. The Nationally Scarce",
57,Peat,"Land with any depth of surface peat, bare or vegetated.",,,,,,
600,Ploughed,Agricultural land that has been cultivated and has not yet re-vegetated.,,,,,,
601,Minimum tillage,"Cultivation of land using mechanical methods other than ploughing, to reduce soil disturbance.",,,,,,
602,No tillage,"No cultivation, beyond surface-hoeing or hand- weeding, either with machinery or hand tools, where the crop is sown directly into soil. Follows principle of avoiding inverting or disturbing soil, to reduce breakdown of organic matter and exposure of weed seed to light.",,,,,,
603,In-field fallow plot,"Uncropped fallow plot established within a field, particularly to support nesting bird",A size range of 1–5 hectares is recommended to target lapwing and curlew nesting.,,,,.,
604,Whole-field fallow,"An entire field left fallow, with no crop present at the time of survey.",,,,,,
605,Mid-field bund,"A raised bank with sloping sides across pasture fields, designed to intercept overland flows and hold water during storms.",,,,,,
606,Mid-field swale,"An elongated depression with sloping sides across pasture fields, designed to intercept overland flows and hold water during storms.",,,,,,
607,Beetle bank,"Grass mounds, usually around 2 m wide and running through large arable fields, that are designed to boost predatory insect numbers to help pest control.",,,,,,
608,Under-field drainage,Artificial drainage installed under the field surface for the purpose of raising agricultural production or forestry yield.,,,,Ditches (see 50).,,
609,Cover crops,"Close-growing crops that provide soil protection, seeding protection, and soil improvement between periods of normal crop production.",,,,,,
61,Re-created habitat,"Habitat such as heathland, wetland, wildlife grassland and others that has been deliberately established on land not occupied by that habitat category at the time when re-creation occurs.","Rec-created habitats may replace a habitat that has been recently lost or one that has not been present at that site for many years, if ever.",,Created and re-created habitats.,,,
610,Catch crops,Establishment of quick-growing crops that are planted between two regular crops grown in consecutive seasons or between two rows of regular crops in the same season.,,,,,,
611,Soil erosion,"The displacement of a field's topsoil by the natural physical forces of water and wind, or vehicles, horses or pedestrians, or through forces associated with farming activities such as tillage.",,,Both natural erosion and that caused by humans. Peat erosion.,,,
613,Fish farm,Places devoted to the operation of fish hatcheries and fish farms in inshore and freshwater areas.,,,,Shellfish production. Intensive angling lakes and intensive netting in estuaries.,,
614,Permanent agricultural,Grassland used for agriculture that has not been ploughed and re-seeded for ≥5 years.,,,,,,
615,City farm,Areas that are generally managed and maintained as a small farm by the local population. They contain livestock and planting and are normally restricted in their access.,,,,Allotments (see 616). Community gardens (see 830).,,
616,Allotments,Land used for the cultivation of fruit and vegetables with numerous plots rented to local people.,,,,City farms (see 615).,,
618,Paludiculture,"A system of farming on rewetted peat for the profitable production of wetland crops under conditions that support the competitive advantage of these crops. In the context of lowland peat soils, it is most usually achieved through raising of the water table to achieve wetland conditions.",A key benefit is protection of the carbon content of peat soils and reduction of greenhouse gas emissions from drained agricultural peatlands.,,,,,
62,Biodiversity offset,Habitat created or restored to compensate for unavoidable residual impacts on habitats or,,,Registered Habitat Banks. Habitats designed for the benefit of,Mitigation measures delivered ‘on-site’ within development sites.,"arising from development, following appropriate adherence to the mitigation hierarchy.",
63,Caves not open to the,Caves – including their water bodies and streams – that are not open to the public and that host specialised or high-endemic,,Annex 1: H8310 Caves not open to the public.,,,", or that are of paramount importance for the conservation of Habitats Directive Annex 2",
700,Port or marina,"A harbour, on the coast or tidal river, sheltering naval, fishing, container or recreational boats or ships.",,,,Water sports facilities not involving boats.,,
702,Saline influence,"A habitat close to the sea showing some effects of saltwater or spray, with vegetation including halophytic",This secondary code is particularly important to add when demarcating the ‘maritime cliff and slope’ habitats coastal grassland and coastal heath and also where dune grassland fades into other grassland types (the former having this secondary code and the latter not).,,,,and-or,
703,Shelter from wave action,A section of shore facing away from the open sea and protected from heavy wave action.,,,,,,
71,Heathland on maritime,Habitat that meets definitions of both dwarf shrub heath (h1) and maritime cliffs and slopes (s2a).,,,"Use h1~, this code (71) and 702.",,Dwarf shrubs include woody plants <1.5 m in height that are Heather Calluna vulgaris or,
72,Dunes with creeping,"Comprises dunes or parts of dunes where Creeping Willow Salix repens ssp. argentea is dominant, forming prominent, low scrubby growth.","Creeping Willow Salix repens ssp. argentea is found on dunes throughout the UK. It grows predominantly in and around dune slacks, though on some sites it may spread up the drier ridges.",Annex 1: 2170 Dunes with Salix repens ssp. argentea [Salicion arenariae].,,,,
73,Inland saltmarshes,Non-coastal sites that support saltmarsh vegetation.,"The Habitats Directive Annex 1 type comprises anthropogenic stands found, for example, in former salt-working sites, as well as natural or near-natural forms. Inland saltmarshes are a rare habitat type, having declined dramatically in the past 50 years in all areas where they occur. The destruction of much of the natural habitat can be traced",Annex 1: 1340 Inland Salt Meadow.,,,,"In the UK, this extremely rare vegetation corresponds to NVC communities SM16 and SM23."
74,Estuaries (H1130),"The downstream part of a river valley that is subject to the tide, extending from the limit of brackish waters. River estuaries are coastal inlets where, unlike large shallow inlets and bays (see 75), there is generally a substantial freshwater influence. The mixing of freshwater and seawater and the reduced current-flows in the shelter of the estuary lead to the deposition of fine sediments, which often form extensive intertidal sand and mud flats. Where the tidal currents are faster than flood tides, most sediments deposit to form a delta at the mouth of the estuary.",,Annex 1: H1130 Estuaries.,,,,
75,Large shallow inlets and,"Large indentations of the coast, generally more sheltered from wave action than the open coast. They are relatively shallow (with water <30 m over most of the area) and, in contrast to estuaries (see 74), generally have much lower freshwater influence. In the UK, three main sub-types can be identified that meet the Habitats Directive Annex 1",,"Annex 1: H1160 Large shallow inlets and bays. In Scotland, the Ria sub-type is called a ‘voe’.",,,,
76,Reefs (H1170),"Rocky marine habitats or biological concretions that rise from the seabed. They are generally subtidal but may extend as an unbroken transition into the intertidal zone, where they are exposed to the air at low tide. Intertidal areas are only included within this Habitats Directive Annex 1 type where they are connected to subtidal reefs. Reefs are very variable in form and in the communities that they support. Two main types of reef can be recognised: those where animal and plant communities develop on rock or stable boulders and cobbles, and those where structure is created by the animals themselves (biogenic reefs).",,Annex 1: H1170 Reefs.,,,,
77,Sea caves (H8330),"Coastal caves that may be completely or partially submerged and only exposed to the sea at high tide. Sea caves vary in size, from only a few metres to more extensive systems, which may extend hundreds of metres into the rock. There may be tunnels or caverns with one or more entrances, in which vertical and overhanging rock faces provide the principal marine habitat.",,,,,,
80,Open mosaic habitats on,"Each of the following five criteria must be met: 1. Open mosaic habitat ≥0.25 ha in size. 2. Known history of disturbance, or evidence that soil has been removed or severely modified by previous use(s). Extraneous materials/substrates such as industrial spoil may have been added. 3. Site contains some vegetation. This will comprise early successional communities, consisting mainly of stress-tolerant",,,,,"(e.g. indicative of low-nutrient status or drought). Early successional communities are composed of one of the following: (a) annuals, (b) mosses/liverworts, (c) lichens, (d) ruderals, (e) inundation",
801,Road verge or island,Land alongside roads and in the middle of roundabouts. Will usually be managed by the local authority or highways authority.,,,,,,
802,Railway,"The rail track of an active railway, rail infrastructure and buildings.",,,,Station car parks (see 804). Vegetated areas between the rail track and railway fence (see 803).,,
803,Railside,Land including embankments and cuttings between the rail track and the boundary of the rail corridor.,,,,"The rail track, rail infrastructure and buildings (see 802).",,
804,Car Park,Permeable or impermeable surface used predominantly for parking of vehicles.,,,,,,
805,Development site,"Land where site works have started in preparation for development, but the construction phase of the development project is not yet complete.",,,,,,
806,Urban park,"Traditional public open space laid out formally for leisure and recreation. Often, but not exclusively, owned by the local authority.",,,,,,
807,Pocket park,"Small, < 1ha, urban park. Few, if any, facilities – typically just play equipment and maybe benches. Few natural features – just a small grassed area with a few shade trees.",Often found in housing estates.,,,,,
808,Neighbourhood park,"1–5 ha urban park. Limited number of sports facilities. Play equipment, picnic sites, barbeque facilities and greenspace set aside for organised sport. Larger (than 807) areas of lawn, a field or two for organised sports and plantings of ornamental vegetation with shade trees. Some areas of impermeable surface.",,,,,,
809,Community park,"5–10 ha urban park. Some active recreation or organised sports facilities. May include community centre. Large areas of managed landscape, abundant lawn, shade trees and ornamental vegetation. Larger (than 808) areas of impermeable surface.",,,,,,
81,Ruderal or ephemeral,Short patchy plant associations of ruderal or ephemeral,"Typical of unmanaged areas in the arable landscape, derelict urban sites, roadsides, newly developed sites, quarries and railway ballast.",,,,with ≥5% cover and perennial grass,
810,District park,"10–15 ha urban park. Many sports facilities, including sports fields for football, soccer basketball courts, tennis courts. Generous areas of managed landscape abundant lawn, shade trees and ornamental vegetation. Several areas of impermeable surface.",,,,,,
811,Regional park,">25 ha urban park. Range of facilities e.g. large scale recreational activities – field sports, archery, canoeing, nature trails. Abundant natural features, mixture of managed landscapes and endemic vegetation. Much lower percentage of park is comprised of impermeable surfaces.",,,,,,
812,Country park,"Large areas set aside for informal countryside recreation near or within towns or cities. Few managed features and few, if any, facilities.",,,,,,
813,Educational building,Buildings where education is the primary land-use.,,,Nurseries. Schools. Colleges. Universities. Field study centres used for education.,"Greenspace around buildings, such as playing fields (see 814, 820, 821). Educational nature reserves.",,
814,Educational premises,"School, college or university grounds and field study centres where education is the primary function.",,,,,,
815,Commercial building,"Any part of a city or town in which the primary land use is commercial activities (e.g. shops, offices, theatres, restaurants).",,,,,,
816,Commercial premises,Green space associated with commercial and industrial premises.,,,,,,
817,Industrial building,Buildings used for heavy or light industry.,,,,,,
819,Residential premises,Communal amenity space around housing estates and community centres.,,,,,,
82,Vacant or derelict land,Areas that have been disturbed by previous development or land use on constructed sites but are now abandoned. They will contain an open mosaic of habitats in the early stages of natural succession which may or may not fulfil the requirements of ‘Open mosaic habitats on previously developed land’ (see 80).,,,,,,
820,Natural sports pitches,"Flat areas of grassland used for a range of outdoor sports such as football, rugby, hockey and cricket, often with changing rooms and pavilions.",,,Sports pitches on educational premises (also use 814).,,,
821,Artificial sports pitches,"Sports pitches where the pitch surfaces are artificial: they are constructed with a variety of human-made materials, such as timber boards, synthetic or bituminous products.",,,Sports pitches on educational premises (also use 814). Athletics tracks.,,,
822,Recreation ground,"An area of mown grass used primarily for informal ball games and similar activities, including dog walking.",,,,,,
823,Children’s Play Space,"A site set aside mainly for children containing the usual paraphernalia of swings, slides and roundabouts.",,,,,,
824,Adventure playground,A play area for children or adults in a supervised environment. Boundaries and entrances are secure.,,,Aerial assault courses. Skate parks. Constructed cycle parks.,,,
825,Ruined building,A building that is no longer used for its previous purpose because of physical damage or decay.,,,,,,
826,Castle or historic building,"Unoccupied castles, monuments, follies, heritage properties and historical ruins.",,,"Historic landscape features that affect the habitat, such as iron-age forts.",Occupied castles or historic buildings that are considered to be residential or business premises.,,
827,Garden,"Land within the curtilage of a residential property, managed for leisure, visual amenity, wildlife or food production, or unmanaged.",,,"Detached garages, greenhouses, polytunnels, sheds, communal amenity areas, pathways, drives and small or large patches of regularly mown grass.",The food production or grazed parts of smallholdings and crofts. Mappable habitat patches of habitats other than ‘regularly mown grass’ within gardens. Rain gardens (see 850).,,
828,Vegetated garden,"Garden that is principally vegetated, for example with large areas of grass and flower beds.",,,,,,
829,Unvegetated garden,"Garden that is principally unvegetated, for example with large areas of paving or decking.",,,,,,
830,Community garden,"An area that is generally managed and maintained by the local population, primarily for food growing. They are usually restricted in their access. May be temporary in nature.",,,,,,
831,Landfill,Areas where domestic and industrial waste are buried with interspersed layers of soil or clay.,,,"Working landfill sites. Closed landfill sites, often with a soil cap and covering grassland (also use 61).",,,
832,Airport,"Used for take-off and landing of planes, including the associated site infrastructure for passengers and freight.",,,,Associated industry (see 817).,,
834,Oil or gas drilling or,Exploration or extraction site for onshore or off- shore oil or gas.,,,,,,
835,Mine,"Mineral extraction, such as coal, mined underground.",,,The surface expression of mining infrastructure and spoil heaps.,,,
836,Quarry – hard rock,"A large, deep pit, from which stone has been extracted.",,,,"Clay, sand, gravel and marl pits.",,
837,Quarry – sand and gravel,"Open mining for materials occurring as small grain sizes, such as clay, sand and gravel.",,,,,,
838,Disused quarry,Areas that remain after quarrying ceases. May be water-filled.,,,Disused quarries that have become vegetated.,,,
839,Track,"An unsurfaced route, more or less defined and approximately of vehicle width, used as transport by vehicle, on foot, cycle or horseback.",,,Track verges that are too narrow to be mapped as separate features.,Vegetated rides in forest or woodland (see 217). Surfaced cycleways (see 528).,,
84,Wind farm,"A cluster of onshore or offshore wind turbines designed for renewable electricity generation. The code should be applied to the land area covered by the turbines themselves and the area in between them. The pad on which the turbines sit should be coded as u1b6, with the rest of the land coded as its own primary habitat, e.g. c1c.",,,,,,
840,Caravan park or,"A site used for permanent or touring caravans, tent pitches or mobile homes at least for the summer months.",,,,Sites with temporary caravans or tents exempted from local authority licencing. Travellers’ sites – use u1b.,,
845,Ground level planters,Plants in pots or other planters at ground level.,,,,,,
846,Flower bed,"Area periodically managed and planted with garden plants. Weeded and often with areas of bare soil, compost or mulch.",,,,,,
847,Introduced shrub,"Non-native tall phanerophytes, mid phanerophytes or low phanerophytes planted in a garden or park setting.",,,,,,
848,Sustainable drainage,Elements designed to manage surface water to aid in reducing flooding and increasing water quality.,,,,,,
849,Bioswale,"Vegetated and gently sloped feature designed to manage water runoff, filter pollutants and increase rainwater infiltration.",,,"Balancing ponds (also use 41, 48).",,,
85,Active sand pit or quarry,"Actively worked sites used for resource extraction, with topsoil and vegetation removed.",,,,Disused sites.,,
850,Rain garden,"Shallow depression planted with deep-rooted native plants and grasses, located near a runoff source like a downspout, driveway or sump pump to capture rainwater runoff and stop the water from reaching the sewer system.",,,,,,
851,Culvert,A structure that channels water past an obstacle or to a subterranean waterway. An artificially buried watercourse.,,,,,,
852,Water treatment filter,"A biological trickling filter system in which wastewater is passed through a porous material, normally housed in large, open, circular tanks.",,,,Sustainable drainage systems (see 848),,
90,Cemeteries and,Areas of open space associated with religious institutions that are at least partly vegetated.,,,Crematoria,,,
a0,Machairs.,,,,Small-scale cropping carried out by crofting communities.,,Traditional agriculture sustains a rich and varied dune and arable-weed flora. Some of the arable- weed,
c1,Arable and horticulture,"Arable cropland (including perennial woody crops and intensively managed commercial orchards), commercial horticultural land (such as nurseries, commercial vegetable plots and commercial flower-growing areas), freshly ploughed land, leys, rotational set-aside and fallow.",,,Cereal field margins. Temporary grass and clover leys.,"Permanent agricultural grassland (see g~). Domestic gardens (see u1, 831, 832, 833). Vertical crop production in buildings (see u1~). Cropped green roofs (see u1).",,
c1a,Arable field margins,"Herbaceous strips or blocks around arable fields that are managed specifically to provide benefits for wildlife. The arable field must be in a crop rotation that includes an arable crop, even if in certain years the field is in temporary grass, set- aside or fallow.","Arable field margins are usually sited on the outer 2–12 m margin of the arable field, although when planted as blocks they occasionally extend further into the field centre.",,,Whole field applications of similar treatments (see c1c~).,"Grasses are likely to include Sweet Vernal Grass Anthoxanthum odoratum, Smooth Meadow Grass Poa pratensis, Red Fescue Festuca rubra, Crested Dog’s-tail Cynosurus cristatus and Yellow Oat-grass Trisetum flavescens, but some sites may have a high cover of sown mixtures of legumes such as Red Clover Trifolium pratense, Alsike Clover Trifolium hybridum and Bird’s-foot Trefoil Lotus corniculatus.",
c1a5,Arable field margins –,"Grass margins around arable fields, sown with tussocky grasses, such as Cocksfoot Dactylis glomerata and Timothy Phleum pratense, that are of particular value for ground-nesting birds and over-wintering insects.",,,,,"Grasses are likely to also include Sweet Vernal Grass Anthoxanthum odoratum, Smooth Meadow Grass Poa pratensis, Red Fescue Festuca rubra, Crested Dog’s-tail Cynosurus cristatus and Yellow Oat-grass Trisetum flavescens.",
c1a6,Arable field margins –,"Grass margins around arable fields, sown with wildflowers that are of particular value for nectar- feeding insects.",,,,,"Grasses are likely to include Sweet Vernal Grass Anthoxanthum odoratum, Smooth Meadow Grass Poa pratensis, Red Fescue Festuca rubra, Crested Dog’s-tail Cynosurus cristatus and Yellow Oat Grass Trisetum flavescens, but with high cover of sown mixtures of legumes such as Red Clover Trifolium pratense, Alsike Clover Trifolium hybridum and Bird’s-foot Trefoil Lotus corniculatus.",
c1a7,Arable field margins –,"Margins around arable fields on sandy or chalky soils, cultivated annually to conserve rare flora.",,,,,,
c1a8,Arable field margins –,"Wild bird cover crops, planted in blocks, corners or strips and left unharvested for seed to benefit farmland birds.",,,,,,
c1b,Temporary grass and,"Temporary grass or legumes in rotation with grain or tilled crops, usually as a soil conservation measure.",,,Short-term leys. Medium-term leys.,Long-term leys (see g4).,"Likely dominants include Perennial Rye-grass Lolium perenne, White Clover Trifolium repens and Red Clover Trifolium pratense.",
c1b5,Rye-grass and clover ley,"Temporary grass with rye-grasses dominant, often with low % cover of clover",,,,,.,
c1b6,Legume-rich ley,Land put down to a mixture containing ≥30% clover or other legumes.,,,,,"White Clover Trifolium repens, Red Clover Trifolium pratense and other legumes, such as Trefoils, Vetches and Lucerne, in a mix with grass",
c1b7,Herb-rich ley,"Complex seed mixture of grasses, legumes and herbs, which bring a range of benefits to forage, livestock health and soil fertility.",,,,,Can often include a mixture of up to 17,
c1c,Cereal crops,"Crops in the cereal group of domesticated grasses: wheat, barley, oats, maize.",,,,,"Flora other than the cereal crop is dependent on the herbicide applied, but it may include Common Field-speedwell Veronica persica, Knotgrass Polygonum aviculare, Night-flowering Catchfly Silene noctiflora, Common Poppy Papaver rhoeas, Fat-hen Chenopodium album, Grey Field- speedwell Veronica polita, Creeping Bent Agrostis stolonifera and Cleavers Galium aparine. Ruderal grass",
c1c5,Winter stubble,Arable crops left in the ground over winter after harvesting.,,,,,,
c1c6,Arable fields – wild bird,Whole fields planted with game bird mix seeds.,,,,,,
c1c7,Other cereal crops,Cereal crops that do not meet the,,,"Wheat, Barley, Oats, Rye, Maize, Linseed, Oilseed Rape.","Sugar-beet, onions, field beans, root crops (see c1d8). Field vegetables such as broccoli and cauliflower (see c1f~).",,
c1c8,Arable fields – pollen,Whole arable fields sown with wildflowers that are of particular value for nectar-feeding insects.,,,,,,
c1c9,Arable fields –,Whole arable fields that are cultivated annually to conserve rare flora.,,,,,,
c1d,Non-cereal crops,Crops other than those defined in c1c.,,,,,,
c1d5,Miscanthus,"Elephant Grass Miscanthus giganteus fields, often grown for biofuel.",,,,,,
c1d6,Short-rotation copppice,"Land planted with fast-growing broadleaves, such as Willow Salix spp. and Ash Fraxinus excelsior, for biofuel harvesting on a short rotation – normally <10 years.",,,,,,
c1d7,Vineyards,Land planted with grape vines.,,,,,,
c1d8,Other non-cereal crops,Non-cereal crops that do not meet the,,,,Soft-fruit nurseries (see c1f~).,,
c1e,Intensive orchards,"Orchards with a ground cover that is intensively managed (treated with herbicide and heavily mown) – usually Modified grassland (see g4), and often with young tree stock and dwarf varieties.",,,The number of trees is ≥5. Nut and Hop plantations.,Traditonal orchards (see 27).,"Between the bare ground strips controlled by herbicides,",
c1f,Horticulture,"Commercial horticultural land such as nurseries, soft-fruit, vegetable plots and flower beds.",,,"Field vegetables, such as leeks, broccoli and cabbage.",,,
c1f5,Annuals horticulture,"Horticulture in which the plants grown are predominantly annuals, completing their life cycle within a single growing season.",,,Food and ornamental crops.,,,
c1f6,Perennials horticulture,Horticulture in which the plants grown are predominantly perennials.,,,"Soft-fruit bushes, such as raspberries, gooseberries, currants. Christmas tree nurseries.",,,
c1f7,Polyculture,Horticulture in which >1,,,Allotments (see 616). Mixed nurseries where fuit bushes grow in an intimate mix.,,"is grown at the same time and place, in imitation of the diversity of natural ecosystems. Polyculture is the opposite of monoculture, in which only members of one plant or animal",
f1,Bog,Rain-fed (ombrotrophic) inundated or waterlogged habitats where peat has formed.,,,Peat bogs that have been cut.,"Minerotrophic (groundwater-fed) wetlands (see f2~). Peatlands drained for agriculture, such as large parts of the Fens and Somerset Levels and Moors.",Key indicators for this habitat include peat-forming Bog-mosses (Sphagnum papillosum and Sphagnum magellanicum).,
f1a,Blanket bog,"Blanket bogs are characterised by the presence of a deep peat deposit, formed from Bog-mosses Sphagnum spp. and other peat-forming","Blanket bogs are rain-fed (ombrotrophic) and broadly convex, meaning that surface flow lines diverge downslope from the crown of the bog unit.",,"In England, deep peat is defined as >30 cm, i.e. with the measured peat depth greater than an average of 30 cm. Intermediate habitats around the margins of the blanket bog, where the major part of the bog morphology is determined by the underlying mineral terrain.","May be part of a habitat mosaic that includes upland flushes, fens and swamps (see f2c), which are fed by groundwater (minerotrophic). Intermediate habitats around the margins where the raised dome(s) of the system predominates (see f1b).",", which is draped across large expanses of the landscape like a blanket. All but the steepest slopes are permanently waterlogged.",
f1a5,Blanket bog (H7130),"As f1a, where peat-forming",,Annex 1: H7310 Blanket Bog.,,"Bogs that have been significantly damaged by drainage, overgrazing or other impacts (see f1a6).","– notably Sphagnum papillosum, Sphagnum magellanicum, Sphagnum tenellum and Sphagnum capillifolium, Hare’s-tail Cottongrass Eriophorum vaginatum – are still dominant or abundant.",
f1a6,Degraded blanket bog,"As f1a, but where peat-forming Bog-mosses Sphagnum spp. have largely disappeared due to drainage of the bog (which may be obvious due to the presence of drainage channels – grips), to be replaced typically by grasses, such as Purple Moor- grass Molinia caerulea and sometimes by the dominance of Heather Calluna vulgaris.",,,"Includes blanket bog where peat has been largely removed by erosion, fire or peat cutting within a larger unit of blanket bog which still retains a substantial depth of peat. Such patches are classed as part of the blanket bog and in the absence of further damage can be expected to infill with peat again over time. It is not therefore appropriate to map such areas as upland heathland (see h1b~).",,,
f1b,Lowland raised bog,"Characterised by the formation of a gently-curving dome, which forms above groundwater level, hence making it a ‘raised’ bog (reliant upon rainfall). The bog surface may show fine-scale variation with drier hummocks and wetter hollows. The thickness of the peat mantle varies considerably but can be >12 m.","This habitat develops in areas of lowland wetland vegetation established within a shallow basin, sometimes at the head of estuaries or along floodplains. It may also be found along the edges of blanket bogs.",,,"In areas where peatlands may have developed as raised bog but then been swallowed up in the continuous expanse of blanket bog, they should be classed as units of blanket bog (see f1a~).",The vegetation is dominated by Sphagnum,
f1b5,Active raised bogs,"As f1b, where peat-forming","Peat depth (>1 m) is often the defining feature of the habitat, requiring a ‘step-up’ onto the rain-fed (ombrotrophic) dome. Now a rare habitat due to exploitation of the peat resource.",Annex 1: H7110 Active raised bogs.,,,"are still present and hydromorphological features are intact, including a lagg fen surrounding the dome.",
f1b6,Degraded raised bog,"Occur where there has been widespread disruption, usually by humans, to the structure and/or function of the peat body, so that the bogs are not actively peat-forming. Degraded raised bogs that are ‘capable of natural regeneration’ include those where the hydrology can be repaired and where, with appropriate rehabilitation management, there is a reasonable expectation of re-establishing vegetation with peat-forming capability within 30 years.","Degradation can involve changes to the hydrology, vegetation and physical structure of the bog, leading to desiccation, oxidation and loss of",Annex 1: H7120 Degraded raised bogs still capable of natural regeneration.,"Provided they are capable of natural regeneration, the following land-cover types are considered to fall within the",,or changes in the balance of the,
f1b7,Other degraded raised,"As f1b6, but where natural regeneration is not possible within 30 years because of a complete loss of hydrological function (i.e. no longer dependent on rainfall only, or raised above the water table) or",,,May include land cover types as described in f1b6.,Agricultural fields that were formerly parts of bogs are not included in this,composition (i.e. no Sphagnum present).,
f2,Fen marsh and swamp,"Characterised by a variety of vegetation types that are found on minerotrophic (groundwater-fed), permanently, seasonally or periodically waterlogged peat, peaty soils or mineral soils. Fens are peatlands which receive water and nutrients from groundwater and surface run-off, as well as from rainfall. Flushes are associated with lateral water movement, and springs with localised upwelling of water. Marsh is a general term usually used to imply waterlogged soil; it is used more specifically here to refer to fen meadows and rush- pasture communities on mineral soils and shallow peats. Swamps are characterised by tall emergent vegetation. Reedbeds (i.e. swamps dominated by stands of Common Reed Phragmites australis) are also included.","Often associated with valleys or hollows and include a wide range of vegetation types from tall broadleaved wetland herb formations, vegetation dominated by small sedge fens, tall wetland sedge or herb or grass fens; fen meadows and rush- dominated vegetation; acid-poor fens and reedbeds to bryophyte springs and flushes.",,Re-created wetlands with water fed from rivers and streams (use f2~ 61),"Ombrotrophic (rainfall-fed) wetlands (see f1~). Wet and seasonally wet grasslands (see g~, 503, 502). Waterlogged woodland (see w1d~). ‘The Fens’ of East Anglia and Lincolnshire refer to a geographic area rather than a habitat category.",A wide range of wetland,
f2a,Lowland fens,"Fens are wetlands that receive water and nutrients from the soil, rock and groundwater, as well as from rainfall. Fens are also often associated with the accumulation of undecomposed, waterlogged plant litter in the form of peat, but not all fens form peat as vegetative matter may be decomposed.","Fens are characterised by their hydrological regime, base-richness and nutrient status (fertility). Topogenous fens are those where water movements in the peat or soil are generally vertical. They include basin fens, fens of lake margins, some forms of floodplain fen and the lagg fens of raised bogs. Soligenous fens, on the other hand, develop where there is distinct water movement through the system, so such movements are predominantly lateral, rather than vertical, and include valley mires, springs and flushes. Rich fens are associated with water derived from base-rich rocks such as chalk and other limestones and as such are generally confined to the lowlands. Many sites of rich fen are small and scattered, often now occurring as ‘islands’ of semi-natural vegetation amongst a sea of agricultural land.",,Re-created lowland fens with water fed from rivers and streams (use f2a 61),,,
f2a5,Calcium-rich fen,Comprises the more,"Occurs in the following situations: (a) sites with a mixture of closed,",Annex 1: H7210 Calcareous fens with Cladium mariscus and,,,"-rich examples of Great Fen-sedge Cladium mariscus fen, particularly those stands enriched with elements of small- sedge fen with open low-growing sedge vegetation.",
f2a6,Hard-water springs,"Tufa-forming spring-heads are characterised by obvious mounds of tufa, partly covered by hummocks of ‘curly-wurly’ brownish or yellow- orange mats of the mosses Cratoneuron commutatum and Cratoneuron filicinum. Lowland.",Tufa formation occurs where groundwater that is rich in calcium bicarbonate comes to the surface. It is likely to be found in association with calcareous grassland and/or where limestone and chalk outcrops occur with springs.,Annex 1: H7220 Petrifying springs with tufa formation [Cratoneurion] [Lowland].,,,"Tufa-forming spring-heads are characterised by the swelling yellow-orange mats of the mosses Cratoneuron commutatum and Cratoneuron filicinum. Many rare, lime-loving (calcicole)","This habitat type is often, but not exclusively, associated with the following NVC communities: M37."
f2a7,Calcium-rich,"Consist of a complex assemblage of vegetation types that are characteristic of both lowland and upland sites where there is tufa (see f2a6) and/or peat formation with a high water table and a calcareous base-rich water supply. The core vegetation is mire with low-growing sedge vegetation, and the habitat is usually identifiable as tussocks of Black Bog-rush Schoenus nigricans between wet, peaty runnels with ‘brown mosses’, often visible bits of tufa as well as water coming from visible seepages.",May occur with various types of swamp (such as,Annex 1: H7230 Alkaline fens [Lowland].,,,"-poor stands of Great Fen-sedge Cladium mariscus), wet grasslands (particularly various types of Purple Moor-grass Molinia caerulea grassland) and areas rich in Juncus","This habitat type is often, but not exclusively, associated with the following NVC communities: M9, M10, M13."
f2a8,Transition mires and,"The term ‘transition mire’ relates to vegetation that, in floristic composition and general ecological characteristics, is transitional between acid bog and alkaline fens, and the surface conditions range from markedly acidic to slightly base-rich. The vegetation normally has intimate mixtures of","In some cases, the mire occupies a physically transitional location between bog and fen vegetation, as, for example, on the marginal lagg of raised bog or associated with certain valley and basin mires. In other cases, these intermediate properties may reflect the actual process of succession, as peat accumulates in groundwater- fed fen or open water to produce rainwater-fed bog isolated from groundwater influence. Many of these systems are very wet and unstable underfoot and can therefore also be described as ‘quaking bogs’. Transition mires and quaking bogs can occur in a variety of situations, related to different geomorphological processes: in floodplain mires, valley bogs, basin mires and the lagg zone of raised bogs, and as regeneration surfaces within mires that have been cut-over for peat or areas of mineral soil influence within Blanket bogs (e.g. ladder fens in Scotland only).",Annex 1: H7140 Transition mires and quaking bogs [lowland].,,,considered to be acidophile and others thought of as calciphile or basophile as a result of base-rich water influence upon acidic nutrient- poor bogs.,
